Number,StartMilliseconds,EndMilliseconds,Text
1,44740,46340,"Big House, Vantage Holdings
Presents"
2,46460,47860,"In association with Showbox,
Mediaplex lnc, lSU Venture Capital"
3,49340,50420,"Hanwha Venture Capital,
Hancomm, Michigan"
4,50580,52460,"Venture Capital and
Daishin Venture Capital"
5,53820,56980,a Bidangil Pictures production
6,68140,71180,"Executive producers
CHEONG Eui-seok, KIM Sun-yong,
JHUNG Seung-koo"
7,72860,74420,"Co-executive producers
KIM Woo-taek, JHE Min-ho,"
8,74580,76060,"PARK Jae-su, PARK Joon-tae,
CHO ll-hyung, KANG Tak-young"
9,77740,80460,"Executive producer
CHIN Hee-moon"
10,82900,85660,Starring KIM Yoon-suk
11,87420,90060,And HA Jung-woo
12,92780,95420,"Director of photography
LEE Sung-je"
13,97300,100140,Lighting director LEE Choi-o
14,101700,104460,"Production designer
LEE Min-bog (AURA)"
15,105540,108020,"Location sound
KIM Sin-yong (LIVE)"
16,109020,111620,Edited by KIM Sun-min
17,114340,117100,"Music by KIM Jun-seok
CHOI Yong-rock (M&F)"
18,119820,122580,"Sound supervisor
CHOI Tae-young (LIVE TONE)"
19,124700,127580,"Visual effects by
KIM Tae-hun (MIX)"
20,129420,132180,Line producer CHOI Moon-su
21,135180,138020,"kay, a little more.
Produced by
KIM Su-jin, YUN In-beom"
22,139900,141580,You had some more space.
23,142580,144220,How could you park like that?
24,144660,146940,"Its all right.
I'll be out in a jiffy anyway.
Written and Directed by NA Hong-jin"
25,147340,148540,This way.
26,205780,207340,"Sir, so is that your car?"
27,228500,230940,"You bitch,
you're dead if I catch you."
28,231100,234380,The Chaser
29,273180,274260,Yes.
30,274980,276380,Yes.
31,277380,278580,I'm back!
32,280260,281460,"I'm sorry, sir."
33,284300,287820,"Two of our girls ran away.
Business has been bad lately."
34,288420,292140,"I've already put
such a big advance on those girls."
35,293900,298860,"But sir, I can't get that much money
ready in three days."
36,298980,302580,"Once I collect the money from them,
and pay you back..."
37,309140,309860,"Turn it off, asshole!"
38,309980,312540,"Can't you see
I was on the phone?"
39,315580,318220,You have no fucking manners.
40,319020,320020,Did you hand them out?
41,320380,322260,"- Yes, sir.
- Go hand out some more, idiot!"
42,325540,327820,Dumb asshole.
43,336460,337580,Yes.
44,338660,339860,Where?
45,340700,342100,Hapjung district.
46,342620,345740,"Provence Motel, room 301."
47,346540,347860,I'll send her now.
48,357020,358500,"- Hello.
- Hey."
49,359020,360140,You came fast.
50,369460,372020,"Seong-hee,
you don't look so young."
51,372140,374500,"- How old are you?
- Thirty."
52,375100,378140,"You took good care of yourself.
Nice body."
53,380300,381900,Why? Need to go pee?
54,382420,384100,"- Yes.
- Later."
55,384220,386900,"- No.
- Go later."
56,389900,392180,I told you to go later.
57,401180,403180,"- What's wrong?
- Let go."
58,403300,405940,"- Just wanted to take some pictures.
- Let go!"
59,406380,408460,"Okay, I'll pay you instead."
60,408580,410460,"Let go, you pervert!"
61,412220,413260,What?
62,413380,415180,Crazy assholes.
63,420980,421780,Where is she?
64,424900,426900,You fucking slut!
65,427020,430060,"You call me a pervert, huh?"
66,430180,433380,"Watch your mouth, bitch!"
67,433500,436180,"You want to die, huh?"
68,436500,438460,"Come here, you bitch!"
69,438620,441140,"- Mister.
- You're dead!"
70,441300,444620,"She's leaving.
Calm down."
71,444740,446820,"- Get out!
- Come here, bitch!"
72,446940,448180,"- Mister.
- Come over here!"
73,448300,449980,"- She's leaving.
- Bitch..."
74,450140,453740,"Come here, you bitch!
You're dead!"
75,453860,456220,"- She's leaving now.
- You bitch!"
76,456380,458620,"- Calm down...
- What the fuck..."
77,461180,462460,Who the hell are you?
78,462620,464260,"I'm her guardian, asshole."
79,475900,477340,Sit down.
80,478700,480380,Kneel down.
81,485620,487420,Cover yourself!
82,505940,507420,So what are you going to do?
83,509980,511380,Let's settle this.
84,528380,529580,Satisfied?
85,535580,538220,There you are.
86,538340,539460,Let me see.
87,542300,545300,"I'm quitting for real.
Don't call me."
88,547100,548020,Hey!
89,550060,550980,Hey!
90,555740,557140,Did you find the girls?
91,560780,562100,Where did you find the car?
92,562700,563700,In Mangwon district.
93,563860,565060,Did you call the police?
94,565180,566420,You crazy?
95,566540,568140,"Report girls who
ran away from me?"
96,568260,570420,I told you they didn't run away.
97,571140,573220,You used to be a detective.
98,573340,576020,"Then go find them
instead of ripping people off."
99,576140,578500,"You crazy bitch,
who says I'm ripping people off?"
100,579020,581380,"I'm the one
who's being ripped off."
101,582780,585500,"Bitches get a big advance from me
and then disappear."
102,585660,587900,"Ask any asshole on the street
what it means."
103,588420,590580,"Whether they've been sold
or ran away."
104,593980,595540,Rotten bastard.
105,595700,597020,Hey!
106,597140,600660,Hey! Seong-hee!
107,601180,603900,That damn temper of hers.
108,609900,611380,Meathead
109,613340,614380,What?
110,614500,619380,"This bastard keeps rejecting the girls
and now there's no one left."
111,619500,620820,"There's Mi-jin, idiot."
112,621340,623380,"She wants to rest
because she's caught a cold."
113,623500,626420,Cold my ass. I'm hanging up.
114,627260,629700,"What the fuck's wrong
with everyone?"
115,648540,649500,Mom.
116,652380,653900,Mom!
117,656300,657220,What?
118,657340,658460,Take the medicine.
119,680860,682580,"Bring me my cell phone, honey."
120,688060,689460,Filth
121,702540,703460,"Yes, Jung-ho."
122,703580,704820,Where are you?
123,705340,708260,I'm sorry. I'm very sick.
124,708380,709820,Where are you sick?
125,709940,711700,"I think it's a cold.
I also have a fever."
126,712900,714700,I'll take a day off.
127,714820,715940,A cold?
128,716060,717780,In the middle of summer?
129,719220,720220,Are you with a guy?
130,720740,721940,No.
131,722100,723980,"Are you trying to run away
like the others?"
132,724380,725980,What are you saying?
133,726620,730900,"You better get to work
before you regret it."
134,732060,733020,Okay?
135,734180,735380,Why aren't you answering me?
136,736380,737620,"Jung-ho, please."
137,737740,740980,"Where do you live?
I'm going over right now."
138,743100,744820,Where is it?
139,746660,748540,"Okay, I'll go."
140,748700,750180,Call Meathead.
141,750620,751580,Yes.
142,757860,759060,Damn it.
143,762100,763100,What's this?
144,771580,773020,You have to go?
145,775140,776820,I'll be back soon.
146,782980,784300,"Yes, a Matiz."
147,785500,788980,"I'm wearing a white cardigan
over a dress."
148,812180,813380,Did it turn on?
149,813500,814580,Yes.
150,825500,826780,4885?
151,828860,830060,4885...
152,832020,833420,I've heard of it.
153,834620,836100,4885?
154,836220,837060,Know this number?
