Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"Created and Encoded by --  Bokutox -- of  www.YIFY-TORRENTS.com. The Best 720p/1080p/3d movies with the lowest file size on the internet. World of Warcraft - Outland PVP (EU) - Torporr (name) They've killed your son Paolo! Murderers! Murderers! My son... All my respect, Don Ciccio. You killed my husband because he wouldn't give in to you. And his oldest son Paolo... ...because he swore revenge. But Vito is only nine. And dumb-witted. He never speaks. It's not his words I'm afraid of. He's weak. He couldn't hurt anyone. But when he grows, he'll grow strong.",43.0,95,Created and Encoded by   of   Best movies with lowest file size on internet of name They have killed your son Murderers My son my respect You killed my husband because he would not give in to you And his oldest son because he swore revenge But is only And dumb witted He never speaks It is not his words I am afraid of He is weak He could not hurt anyone But when he grows he will grow strong,admiration
2,"Don't worry. This little boy can't do a thing to you. When he's a man, he'll come for revenge. I beg you, Don Ciccio, spare my only son. He's all I have left. I swear to God he'll never do you any harm. Spare him! Vito, run! Move and I'll kill him! Run, Vito! Kill him! Any family who hides the boy Vito Andolini will regret it! You understand? Anybody who hides the boy Vito Andolini is in for trouble! Vito, we're praying for you!",36.199999999999996,85,Do not worry little boy can not do thing to you When he is man he will come for revenge I beg you spare my only son He is all I have left I swear to he will never do you harm Spare him run Move and I will kill him Kill him family who hides boy will regret it You understand Anybody who hides boy is in for trouble we are praying for you,caring
3,"If anyone is hiding the boy Vito Andolini... ...turn him over to us. Don Ciccio will thank you for it! It'll be better for the boy, and better for you! Any family who hides the boy Vito Andolini will regret it! Nurse. Money? Interpreter! Where are you from? -What is your name? -Maria. What is your name? Come on, son. What is your name? Vito Andolini from Corleone.",34.5,68,If anyone is hiding boy turn him over to us will thank you for it It will be better for boy and better for you family who hides boy will regret it Money Where are you from is your name What is your name Come on son What is your name from,caring
4,"Corleone. Vito Corleone. Okay, over there. Next. Tell him he has smallpox. Quarantine three months. Vito Corleone! Vito Corleone! Here he is. This is him. Did you bring the car keys? Laurie! Laurie! Mama! Mama! -Look who's here. -Father Carmelo. -This is Father Carmelo. -I'm Merle Johnson.",32.800000000000004,47,Corleone Okay over there Next Tell him he has smallpox Quarantine months Here he is This is him Did you bring car keys -Look who is here -This is am,neutral
5,"Mama! -Here I am. -Constanzia, after one week? I sent the car to the airport last week to pick you up. It was chaos. Anyway, here I am, just one week late. This is for my mama! -What is this? -You remember Merle? Hello. How are you? Thank you. Where's Michael? I've got to talk to him and I can't wait on line. You go see your children first. Then you worry about waiting on line to see your brother. Like everybody else. Ladies and gentlemen... A most distinguished guest would like to say a few words. Please welcome Senator Pat Geary of the State of Nevada. And there is Mrs. Geary.",48.30000000000001,112,-Here I am after week I sent car to airport last week to pick you up It was chaos Anyway here I am just week late This is for my mama is this remember Hello How are you Thank you Where is I have got to talk to him and I can not wait on line You go see your children first Then you worry about waiting on line to see your brother Like everybody else Ladies and gentlemen most distinguished guest would like to say few words Please welcome of of And there is,curiosity
6,"Thank you very much. This is a very, very happy day for me and my wife Mrs. Geary. We see Nevada far too seldom. But today we can join with old friends, we can make new friends and we help celebrate a young man's first Communion. And also to thank that boy's family for a magnificent contribution to the State. I have here in my hand a check made out to the university and it is a magnificent endowment in the name of Anthony Vito Corleone. The check is signed by that young man's parents whom I think we should recognize. Mike, Pat, Kay, stand up, please. Let the folks see you! Folks, I want you to join me",53.2,119,Thank you very much This is very very happy day for me and my wife We see far too seldom But today we can join with old friends we can make new friends and we help celebrate young man 's first And also to thank boy 's family for magnificent contribution to I have here in my hand check made out to university and it is magnificent endowment in name of check is signed by young man 's parents whom I think we should recognize stand up please Let folks see you Folks I want you to join me,admiration
7,"in giving a real Nevada thank you to Mr. and Mrs. Michael Corleone! We also have, as a special added attraction, the Sierra Boys Choir who have chosen a certain special song and a special arrangement to honor their host, Mr. Michael Corleone. Boys. The plaque. Okay, fellows, did you get that one? Okay, that's good. Now, Senator, just you and Mrs. Corleone. My lawyer Tom Hagen. Senator Geary. He arranged everything through your man Turnbull. -Yes, yes. -Sit down. I thought that you and I would talk alone.",46.7,89,in giving real thank you to and We also have as special added attraction who have chosen certain special song and special arrangement to honor their host Boys plaque Okay fellows did you get Okay that is good Now just you and My lawyer He arranged everything through your man -Yes yes down I thought that you and I would talk alone,gratitude
8,"I trust these men with my life, Senator. To ask them to leave would be an insult. Well, it's perfectly all right with me but I am a blunt man and I intend to speak very frankly to you. Maybe more frankly than anyone in my position has ever talked to you before. The Corleone family has done well in Nevada. You own, or control, two major hotels in Vegas and one in Reno. The licenses were grandfathered in so there was no problem with the Gaming Commission. Now my sources tell me that you plan to make a move against the Tropigala. They tell me that within a week, you're going to move Klingman out. Quite an expansion. However, it will leave you with a little technical problem.",52.599999999999994,129,I trust men with my life To ask them to leave would be insult Well it is perfectly all right with me but I am blunt man and I intend to speak very frankly to you Maybe more frankly than anyone in my position has ever talked to you before family has done well in You own or control major hotels in and in licenses were grandfathered in so there was problem with Now my sources tell me that you plan to make move against They tell me that within week you are going to move out expansion However it will leave you with little technical problem,neutral
9,"The license will still be in Klingman's name. -Turnbull is a good man. -Yeah, well, let's cut out the bullshit. I don't want to spend more time here than I have to. You can have the license. The price is 250,000 dollars. Plus five per cent of the gross monthly of all four hotels, Mr. Corleone. The price for the license is less than 20,000 dollars, right? That's right. -Why would I pay more than that? -Because I intend to squeeze you. I don't like your kind of people. I don't like to see you come out to this clean country in oily hair dressed up in those silk suits",46.6,110,license will still be in 's name is good man -Yeah well let us cut out bullshit I do not want to spend more time here than I have to You can have license price is dollars Plus per cent of gross monthly of hotels price for license is less than dollars right That is right -Why would I pay more than that -Because I intend to squeeze you I do not like your kind of people I do not like to see you come out to clean country in oily hair dressed up in silk suits,annoyance
10,"and try to pass yourselves off as decent Americans. I'll do business with you, but the fact is that I despise your masquerade, the dishonest way you pose yourself and your whole fucking family. Senator, we're both part of the same hypocrisy. But never think it applies to my family. All right, all right. Some people have to play little games. You play yours. Let's say that you'll pay me because it's in your interest. I want your answer and the money by noon tomorrow. One more thing. Don't you contact me again, ever. From now on you deal with Turnbull. Open that door, son. Senator, you can have my answer now if you like.",50.8,115,and try to pass yourselves off as decent I will do business with you but fact is that I despise your masquerade dishonest way you pose yourself and your whole fucking family we are both part of same hypocrisy But never think it applies to my family All right all right people have to play little games You play yours Let us say that you will pay me because it is in your interest I want your answer and money by noon tomorrow more thing Do not you contact me again ever From now on you deal with Open door son you can have my answer now if you like,anger
