Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1," [ ""If I Didn't Care"" ]  IF I DIDN'T CARE   MORE THAN WORDS CAN SAY   IF I DIDN'T CARE   WOULD I FEEL THIS WAY   IF THIS ISN'T LOVE   THEN WHY DO I THRILL   AND WHAT MAKES MY HEAD GO 'ROUND AND 'ROUND   WHILE MY HEART STANDS STILL   IF I DIDN'T CARE   WOULD IT BE THE SAME  [ Radio ]  WOULD MY EVERY PRAYER   BEGIN AND END   WITH JUST YOUR NAME   AND WOULD I BE SURE ",71.372,104,  If I Did not Care   IF I DID NOT CARE    MORE THAN CAN SAY    IF I DID NOT CARE    WOULD I FEEL    IF THIS IS NOT    THEN WHY DO I    AND WHAT MAKES MY ROUND AND    WHILE MY HEART STANDS    IF I DID NOT CARE    WOULD IT BE SAME   ]   WOULD    AND    WITH JUST YOUR NAME    AND WOULD I BE SURE,remorse
2," THAT THIS IS LOVE   BEYOND COMPARE   WOULD ALL THIS BE TRUE   IF I DIDN'T CARE FOR YOU  [ Speaking ] IF I DIDN'T CARE, HONEY CHILD, MORE THAN WORDS CAN SAY, IF I DIDN'T CARE--  [ Continues ] [ Attorney ] MR. DUFRESNE, DESCRIBE THE... CONFRONTATION YOU HAD WITH YOUR WIFE... THE NIGHT THAT SHE WAS MURDERED. IT WAS VERY BITTER. SHE SAID SHE WAS GLAD I KNEW, THAT SHE HATED ALL THE SNEAKING AROUND. AND SHE SAID SHE WANTED A DIVORCE IN RENO. WHAT WAS YOUR RESPONSE?",48.541000000000004,97,  THAT THIS IS LOVE    BEYOND    WOULD THIS BE TRUE    IF I DID NOT CARE FOR YOU   Speaking ] IF I DID NOT CARE CHILD MORE THAN CAN SAY IF I DID NOT   YOU HAD WITH YOUR WIFE NIGHT THAT WAS MURDERED IT WAS VERY BITTER SHE SAID SHE WAS GLAD I KNEW THAT HATED SNEAKING AROUND AND SAID SHE WANTED DIVORCE IN WHAT WAS YOUR RESPONSE,neutral
3,"I TOLD HER I WOULD NOT GRANT ONE. ""I'LL SEE YOU IN HELL BEFORE I SEE YOU IN RENO."" THOSE WERE THE WORDS YOU USED, MR. DUFRESNE, ACCORDING TO THE TESTIMONY OF YOUR NEIGHBORS. IF THEY SAY SO. I REALLY DON'T REMEMBER. I WAS UPSET. WHAT HAPPENED AFTER YOU ARGUED WITH YOUR WIFE? SHE PACKED A BAG-- SHE PACKED A BAG TO GO AND STAY WITH MR. QUENTIN. [ Attorney ] GLENN QUENTIN. [ Both Laughing ] THE GOLF PRO AT THE SNOWDEN HILLS COUNTRY CLUB. THE MAN YOU HAD RECENTLY DISCOVERED WAS YOUR WIFE'S LOVER. DID YOU FOLLOW HER? WENT TO A FEW BARS FIRST. LATER I DROVE TO HIS HOUSE TO CONFRONT THEM. THEY WEREN'T HOME, SO I PARKED IN THE TURNOUT...",44.748,124,I TOLD HER I WOULD NOT GRANT I WILL SEE YOU IN BEFORE I SEE YOU IN THOSE WERE WORDS YOU USED ACCORDING TO OF YOUR NEIGHBORS IF THEY SAY SO I DO NOT REMEMBER I WAS UPSET WHAT HAPPENED AFTER YOU ARGUED WITH YOUR WIFE SHE PACKED A SHE PACKED BAG TO GO AND STAY WITH Both Laughing GOLF PRO AT MAN YOU HAD WAS YOUR WIFE 'S DID YOU FOLLOW HER WENT TO FEW BARS FIRST LATER I DROVE TO HIS HOUSE TO CONFRONT THEY WERE NOT SO I PARKED IN,neutral
4,"AND... WAITED.  [ Continues ] [ Attorney ] WITH WHAT INTENTION? I'M NOT SURE. I WAS CONFUSED, UH, DRUNK. I THINK... MOSTLY I WANTED TO SCARE THEM. WHEN THEY ARRIVED, YOU WENT UP TO THE HOUSE AND MURDERED THEM. NO. I WAS SOBERING UP. I GOT BACK IN THE CAR, AND I DROVE HOME TO SLEEP IT OFF. ALONG THE WAY, I STOPPED... AND THREW MY GUN INTO THE ROYAL RIVER. - I FEEL I'VE BEEN VERY CLEAR ON THIS POINT. - WELL, WHERE I GET HAZY... IS WHERE THE CLEANING WOMAN SHOWS UP THE FOLLOWING MORNING... AND FINDS YOUR WIFE IN BED WITH HER LOVER, RIDDLED WITH .38 CALIBER BULLETS. NOW, DOES THAT STRIKE YOU AS A FANTASTIC COINCIDENCE, MR. DUFRESNE, OR IS IT JUST ME? YES, IT DOES.",45.667,131,AND   Continues Attorney ] WITH WHAT I AM NOT SURE I WAS CONFUSED I THINK I WANTED TO SCARE THEM WHEN THEY ARRIVED YOU WENT UP TO AND MURDERED NO I WAS SOBERING I GOT BACK IN CAR AND I DROVE HOME TO SLEEP ALONG I STOPPED AND INTO I FEEL I HAVE BEEN VERY ON POINT WHERE I GET IS WHERE CLEANING WOMAN SHOWS UP FOLLOWING MORNING AND FINDS YOUR WIFE IN BED WITH HER RIDDLED WITH BULLETS NOW DOES THAT STRIKE YOU AS OR IS IT JUST ME YES DOES,remorse
5,"YET YOU STILL MAINTAIN... THAT YOU THREW YOUR GUN INTO THE RIVER BEFORE THE MURDERS TOOK PLACE. THAT'S VERY CONVENIENT. IT'S THE TRUTH. THE POLICE DRAGGED THAT RIVER FOR THREE DAYS AND NARY A GUN WAS FOUND. SO THERE COULD BE NO COMPARISON MADE BETWEEN YOUR GUN... AND THE BULLETS TAKEN... FROM THE BLOOD-STAINED CORPSES OF THE VICTIMS. AND THAT, ALSO, IS VERY CONVENIENT. ISN'T IT, MR. DUFRESNE? SINCE I AM INNOCENT OF THIS CRIME, SIR, I FIND IT DECIDEDLY INCONVENIENT THAT THE GUN WAS NEVER FOUND. [ Radio ]  WITH JUST YOUR NAME   AND WOULD I BE SURE ",45.625,103,YET YOU THAT YOU THREW YOUR GUN INTO RIVER BEFORE MURDERS TOOK THAT IS VERY CONVENIENT IT IS TRUTH POLICE DRAGGED FOR DAYS AND WAS SO THERE COULD BE COMPARISON MADE BETWEEN YOUR AND BULLETS FROM BLOOD STAINED CORPSES OF AND THAT ALSO IS VERY CONVENIENT IS NOT SINCE I AM OF I FIND IT INCONVENIENT THAT WAS NEVER Radio ]   WITH JUST YOUR NAME    AND WOULD I BE SURE,remorse
6," THAT THIS IS LOVE   BEYOND COMPARE  [ Switches Radio Off ] [ Attorney ] LADIES AND GENTLEMEN, YOU'VE HEARD ALL THE EVIDENCE, YOU KNOW ALL THE FACTS. WE HAVE THE ACCUSED AT THE SCENE OF THE CRIME. WE HAVE FOOTPRINTS, TIRE TRACKS, BULLETS STREWN ON THE GROUND... WHICH BEAR HIS FINGERPRINTS, A BROKEN BOURBON BOTTLE, LIKEWISE WITH FINGERPRINTS, AND MOST OF ALL, WE HAVE A BEAUTIFUL YOUNG WOMAN AND HER LOVER... LYING DEAD IN EACH OTHERS ARMS. THEY... HAD SINNED. BUT WAS THEIR CRIME SO GREAT... AS TO MERIT A DEATH SENTENCE? NOW, WHILE YOU THINK ABOUT THAT,",43.542,102,  THAT THIS IS LOVE    BEYOND   Attorney AND YOU HAVE HEARD EVIDENCE YOU KNOW FACTS WE HAVE ACCUSED AT SCENE OF WE HAVE FOOTPRINTS STREWN ON WHICH BEAR HIS FINGERPRINTS LIKEWISE WITH FINGERPRINTS AND MOST OF ALL WE HAVE AND HER LYING DEAD IN THEY HAD BUT WAS THEIR SO AS TO MERIT A DEATH SENTENCE NOW WHILE YOU THINK ABOUT THAT,neutral
7,"THINK ABOUT THIS: A REVOLVER HOLDS SIX BULLETS, NOT EIGHT. I SUBMIT THAT THIS WAS NOT A HOT-BLOODED CRIME OF PASSION. THAT AT LEAST COULD BE UNDERSTOOD, IF NOT CONDONED. NO. THIS WAS REVENGE... OF A MUCH MORE BRUTAL AND COLD-BLOODED NATURE. CONSIDER THIS: FOUR BULLETS PER VICTIM. NOT SIX SHOTS FIRED, BUT EIGHT. THAT MEANS THAT HE FIRED THE GUN EMPTY... AND THEN STOPPED TO RELOAD... SO THAT HE COULD SHOOT EACH OF THEM AGAIN. AN EXTRA BULLET PER LOVER. RIGHT IN THE HEAD. [ Breathing Heavily ] YOU STRIKE ME... AS A PARTICULARLY ICY AND REMORSELESS MAN, MR. DUFRESNE. IT CHILLS MY BLOOD JUST TO LOOK AT YOU.",50.67,110,THINK ABOUT THIS BULLETS NOT I SUBMIT THAT THIS WAS NOT HOT BLOODED OF PASSION THAT AT LEAST COULD BE UNDERSTOOD IF NOT CONDONED NO THIS WAS REVENGE OF MUCH MORE BRUTAL AND COLD CONSIDER THIS BULLETS PER VICTIM NOT BUT THAT MEANS THAT HE FIRED AND THEN TO RELOAD SO THAT HE COULD SHOOT EACH OF THEM AGAIN EXTRA BULLET PER RIGHT IN HEAD Breathing Heavily YOU STRIKE ME AS PARTICULARLY AND IT CHILLS BLOOD JUST TO LOOK AT YOU,neutral
8,"BY THE POWER VESTED IN ME BY THE STATE OF MAINE, I HEREBY ORDER YOU TO SERVE TWO LIFE SENTENCES BACK TO BACK. ONE FOR EACH OF YOUR VICTIMS. SO BE IT. [ Man ] SIT. WE SEE BY YOUR FILE YOU'VE SERVED 20 YEARS OF A LIFE SENTENCE. YES, SIR. DO YOU FEEL YOU'VE BEEN REHABILITATED? OH, YES, SIR. ABSOLUTELY, SIR. I MEAN, I LEARNED MY LESSON. I CAN HONESTLY SAY THAT I'M A CHANGED MAN. I'M-- I'M NO LONGER A DANGER TO SOCIETY. THAT'S GOD'S HONEST TRUTH. [ Men Yelling, Talking, Laughing ] [ Indistinct Talking Continues ] HEY, RED. HOW'D IT GO?",51.002,105,BY IN BY OF I HEREBY ORDER YOU TO LIFE SENTENCES BACK TO FOR EACH OF YOUR VICTIMS SO BE IT Man WE SEE BY YOUR FILE YOU HAVE YEARS OF LIFE DO YOU FEEL YOU HAVE BEEN REHABILITATED I MEAN I LEARNED I CAN HONESTLY SAY THAT I AM I I AM NO LONGER DANGER TO THAT IS 'S HONEST Men Talking Laughing HOW DID IT GO,neutral
9,"SAME OLD SHIT, DIFFERENT DAY. YEAH. I KNOW HOW YOU FEEL. I'M UP FOR REJECTION NEXT WEEK. YEAH, I GOT REJECTED LAST WEEK. IT HAPPENS. - HEY, RED, BUMP ME A DECK. - GET THE FUCK OUT MY FACE. YOU'RE INTO ME FOR FIVE PACKS ALREADY. FIVE! FOUR. [ Red Narrating ] THERE MUST BE A CON LIKE ME IN EVERY PRISON IN AMERICA. I'M THE GUY WHO CAN GET IT FOR YA-- CIGARETTES; A BAG OF REEFER, IF THAT'S YOUR THING; A BOTTLE OF BRANDY TO CELEBRATE YOUR KID'S HIGH SCHOOL GRADUATION. DAMN NEAR ANYTHING, WITHIN REASON. YES, SIR, I'M A REGULAR SEARS AND ROEBUCK. [ Siren Wailing ] SO, WHEN ANDY DUFRESNE CAME TO ME IN 1949... AND ASKED ME TO SMUGGLE RITA HAYWORTH INTO THE PRISON FOR HIM,",46.998,131,SAME OLD DIFFERENT YEAH I KNOW HOW YOU FEEL I AM UP FOR YEAH I GOT REJECTED LAST WEEK DECK GET OUT YOU ARE INTO ME FOR PACKS ALREADY THERE MUST BE LIKE ME IN PRISON IN I AM WHO CAN GET IT FOR YA-- CIGARETTES OF IF THAT IS YOUR THING OF TO CELEBRATE YOUR KID 'S HIGH ANYTHING WITHIN REASON YES I AM AND SO WHEN CAME TO IN AND ASKED ME TO SMUGGLE INTO PRISON FOR,neutral
10,"I TOLD HIM, ""NO PROBLEM."" [ Man On P.A. ] ...THE MAIN GATE. [ P.A. Continues, Indistinct ] ANDY CAME TO SHAWSHANK PRISON IN EARLY 1947... FOR MURDERING HIS WIFE AND THE FELLA SHE WAS BANGING. ON THE OUTSIDE, HE'D BEEN VICE PRESIDENT OF A LARGE PORTLAND BANK. GOOD WORK FOR A MAN AS YOUNG AS HE WAS. [ Men Clapping, Whistling ] HEY, RED. [ Whistling, Clapping Continue ] [ Men Clapping, Yelling Continues ] YOU SPEAK ENGLISH, BUTT STEAK? YOU FOLLOW THIS OFFICER. [ Men Yelling ] MEAT! MEAT! I HAVEN'T SEEN SUCH A SORRY-LOOKIN' HEAP OF MAGGOT SHIT IN ALL MY LIFE.",46.623000000000005,105,I TOLD NO PROBLEM Man On CAME TO PRISON IN EARLY FOR MURDERING HIS WIFE AND WAS ON HE WOULD BEEN VICE PRESIDENT OF LARGE GOOD FOR MAN AS YOUNG AS HE WAS Whistling Clapping Continue Continues YOU SPEAK YOU FOLLOW Men MEAT MEAT I HAVE NOT SEEN SORRY LOOKIN ' OF SHIT IN LIFE,caring
