Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"FEMALE WHISPERS IN ELVISH: I amar prestar aen FEMALE VOICE: The world is changed. Han mathon ne nen. I feel it in the water. Han mathon ne chae. I feel it in the earth. A han noston ned 'wilith. I smell it in the air. Much that once was... is lost. For none now live who remember it. It began with the forging of the Great Rings. Three were given to the Elves: Immortal, wisest and fairest of all beings. Seven to the Dwarf-lords: Great miners and craftsmen of the mountain halls.",37.788,92,WHISPERS IN I VOICE world is changed I feel it in water I feel it in earth ned wilith I smell it in air Much that once was is lost For none now live who remember it It began with forging of were given to wisest and fairest of beings to lords Great miners and craftsmen of mountain halls,neutral
2,"And nine... nine rings were gifted to the race of Men... who, above all else, desire power. For within these rings was bound the strength and will to govern each race. But they were all of them deceived. For another ring was made. In the land of Mordor, in the fires of Mount Doom... the Dark Lord Sauron forged in secret a Master Ring... to control all others. And into this Ring he poured his cruelty, his malice... and his will to dominate all life. One Ring to rule them all. One by one... the Free Lands of Middle-earth fell to the power of the Ring. But there were some who resisted. A Last Alliance of Men and Elves marched against the armies of Mordor.",54.618,125,And rings were gifted to race of who above else desire power For within rings was bound strength and will to govern race But they were all of them deceived For ring was made In land of in fires of forged in secret to control others And into he poured his cruelty his malice and his will to dominate life Ring to rule them all by of Middle earth fell to power of But there were some who resisted Last Alliance of and marched against armies of,neutral
3,"And on the slopes of Mount Doom, they fought for the freedom of Middle-earth. [SPEAKS ELVISH] Tangado haid! Hold positions! Leithio i philinn! Release the arrows! Victory was near. But the power of the Ring... could not be undone. It was in this moment... when all hope had faded... that Isildur, son of the king, took up his father's sword. Sauron, the enemy of the Free Peoples of Middle-earth, was defeated. The Ring passed to Isildur... who had this one chance to destroy evil forever. But the hearts of Men... are easily corrupted. And the Ring of Power has a will of its own. It betrayed Isildur...",48.919,107,And on slopes of they fought for freedom of Middle earth [ Tangado haid Hold positions Leithio i philinn Release arrows Victory was near But power of could not be undone It was in moment when hope had faded that son of king took up his father 's sword enemy of of Middle earth was defeated passed to who had chance to destroy evil forever But hearts of are easily corrupted And of has will of its own It betrayed,neutral
4,"to his death. And some things that should not have been forgotten... were lost. History became legend... legend became myth. And for two and a half thousand years... the Ring passed out of all knowledge. Until, when chance came... it ensnared a new bearer. GOLLUM: My precious. FEMALE VOICE: The Ring came to the creature Gollum... who took it deep into the tunnels of the Misty Mountains. And there it consumed him. GOLLUM: It came to me. My own. My love. My own. My precious.",51.536,85,to his death And things that should not have been forgotten were lost History became legend legend became myth And for and years passed out of knowledge Until when chance came it ensnared new bearer My precious FEMALE VOICE came to creature who took it deep into tunnels of And there it consumed him It came to me My own My love My own My precious,love
5,"FEMALE VOICE: The Ring brought to Gollum unnatural long life. For 500 years it poisoned his mind. And in the gloom of Gollum's cave, it waited. Darkness crept back into the forests of the world. Rumor grew of a shadow in the East... whispers of a nameless fear. And the Ring of Power perceived... its time had now come. It abandoned Gollum. But something happened then the Ring did not intend. It was picked up by the most unlikely creature imaginable. BILBO: What's this? FEMALE VOICE: A Hobbit. Bilbo Baggins of the Shire. A ring. GOLLUM: Lost!",48.781000000000006,97,FEMALE VOICE brought to unnatural long life For years it poisoned his mind And in gloom of 's cave it waited Darkness crept back into forests of world Rumor grew of shadow in whispers of nameless fear And of perceived its time had now come It abandoned But something happened then did not intend It was picked up by most unlikely creature imaginable What is this FEMALE VOICE Hobbit of Shire ring Lost,sadness
6,"My precious is lost! FEMALE VOICE: For the time will soon come... when Hobbits will shape the fortunes of all. BILBO: The 22nd day of September... in the year 1400... by Shire-reckoning. Bag End, Bagshot Row, Hobbiton, Westfarthing... the Shire... Middle-earth. The Third Age of this world. There and Back Again: A Hobbit's Tale. By Bilbo Baggins. Now... where to begin? Ah, yes....",42.611,63,My precious is lost FEMALE VOICE For time will soon come when will shape fortunes of all 22nd day of in year by Shire reckoning Shire Middle earth of world There and Back Again 's By Now where to begin Ah yes,sadness
7,"""Concerning... Hobbits."" Hobbits have been living and farming in the four Farthings of the Shire... for many hundreds of years... quite content to ignore and be ignored... by the world of the Big Folk. Middle-earth being, after all, full of strange creatures beyond count... Hobbits must seem of little importance... being neither renowned as great warriors... nor counted among the very wise. [KNOCKING] Frodo! Someone at the door. In fact, it has been remarked by some... that Hobbits' only real passion is for food. A rather unfair observation... as we have also developed a keen interest in the brewing of ales...",50.661,101,Concerning have been living and farming in of Shire for many hundreds of years quite content to ignore and be ignored by world of Middle earth being after all full of strange creatures beyond count must seem of little importance being neither renowned as great warriors nor counted among very wise [ KNOCKING Someone at door In fact it has been remarked by some that ' only real passion is for food rather unfair observation as we have also developed keen interest in brewing of ales,neutral
8,"and the smoking of pipe-weed. But where our hearts truly lie... is in peace and quiet... and good, tilled earth. For all Hobbits share a love of things that grow. And, yes, no doubt to others, our ways seem quaint. But today of all days, it is brought home to me: It is no bad thing to celebrate a simple life. [KNOCKING] Frodo, the door! Sticklebacks. Where is that boy? Frodo! MALE VOICE: Down from the door where it began [WAGON RUMBLES] And I must follow if I can The road goes ever on and on",52.150999999999996,96,and smoking of pipe weed But where our hearts truly lie is in peace and quiet and good tilled earth For share love of things that grow And yes no doubt to others our ways seem quaint But today of days it is brought home to me It is bad thing to celebrate simple life [ KNOCKING ] door Sticklebacks Where is boy Frodo Down from door where it began [ RUMBLES And I must follow if I can road goes ever on and on,neutral
9,"Down from the door where it began Now far ahead the road has gone - And I must follow if I can - You're late. A wizard is never late, Frodo Baggins. Nor is he early. He arrives precisely when he means to. It's wonderful to see you, Gandalf! You didn't think I'd miss your Uncle Bilbo's birthday? How is the old rascal? I hear it's going to be a party of special magnificence. You know Bilbo. He's got the whole place in an uproar. Well, that should please him. Half the Shire's been invited. And the rest of them are turning up anyway. BILBO: And so life in the Shire goes on... very much as it has this past Age... full of its own comings and goings, with change coming slowly.",54.705,132,Down from door where it began Now far ahead road has gone And I must follow if I can You are late wizard is never late Nor is he early He arrives precisely when he means to It is wonderful to see you You did not think I would miss your 's birthday How is old rascal I hear it is going to be party of special magnificence You know He is got whole place in uproar Well that should please him Shire 's been invited And rest of them are turning up anyway And so life in Shire goes on very much as it has past Age full of its own comings and goings with change coming slowly,joy
10,"If it comes at all. For things are made to endure in the Shire... passing from one generation to the next. There's always been a Baggins living here under the Hill... in Bag End. And there always will be. To tell you the truth, Bilbo's been a bit odd lately. I mean, more than usual. He's taken to locking himself in his study. He spends hours poring over old maps when he thinks I'm not looking. Where's it gone? He's up to something. - All right, then. Keep your secrets. - What? But I know you have something to do with it. Good gracious me. Before you came along, we Bagginses were very well thought of.",42.007000000000005,116,If it comes at all For things are made to endure in Shire passing from generation to next There is always been living here under in And there always will be To tell you truth 's been bit odd lately I mean more than usual He is taken to locking himself in his study He spends hours poring over old maps when he thinks I am not looking Where is it gone He is up to something All right then Keep your secrets What But I know you have something to do with it Good gracious me Before you came along we were very well thought of,neutral
