Number,StartMilliseconds,EndMilliseconds,Text
1,126234,127963,Give me your press badge.
2,128169,130160,"No way, you're not my dad!"
3,130371,132771,Then I shall take it by force.
4,132941,134738,Ooh! He's my brother!
5,134909,136706,"Then you shouldn't have
made out with him."
6,186761,188194,"So, your name's Dan?"
7,188363,192197,"Yeah, Dan... Dan Quint.
Like on the resume."
8,192367,195859,"Dan Quint. Born 1990.
I didn't think that was possible."
9,196037,197334,"Yeah, 1990."
10,197505,199268,People are born every year so that's-
11,200909,204003,"What do you hope to get out of being
in the mailroom, Dan?"
12,204179,207171,"I guess I hope to get out of
being in the mailroom."
13,207782,210649,You got sass. I like it.
14,210818,212843,Guess what? You're hired.
15,214055,216615,"I'm Lemuel Gulliver.
Welcome to the team."
16,216791,217758,I was hired...
17,218927,219916,yesterday by HR.
18,220094,221857,"- Doggy wants a bone.
- What?"
19,222030,223725,Doggy wants a bone.
20,225667,227259,Floor 30. This is the editors' floor.
21,227435,228035,"Oh, yeah."
22,228045,229528,"- This is the epicenter, my friend.
- Okay."
23,229704,231467,"- Feel it. Feel it.
- Okay."
24,231639,232970,Got a little something for you.
25,233474,235066,Ah... God dang it! Sorry about that.
26,235243,237473,"Listen, I will dry-clean that.
Sorry about that. My bad."
27,239047,240742,"- You just wait out here.
- What?"
28,240915,242473,One second.
29,244986,245975,"Here's your mail, sir."
30,246154,247883,"Oh... hey, you're Harold Jones, right?"
31,248056,249580,Yeah.
32,249757,252351,"I loved your piece on the failure
of the derivative markets."
33,252527,253494,Thanks very much.
34,253661,255151,I look forward to seeing you around.
35,255330,256661,Thank you...
36,256831,259425,from me and all the readers.
37,260768,263328,"Dan, what are you doing?
You can't talk to those guys!"
38,263504,264528,"- Why not?
- Because..."
39,264706,267038,"Okay, this is your first day.
We are the mailroom guys."
40,267208,269768,"Mailroom guys are meant to
be seen and not heard."
41,269944,271844,"And ideally, not even seen, okay?"
42,272013,273776,"We're not on their level.
We're the little people."
43,273948,275848,"No, you know what it is? I think
you're just scared to talk to them."
44,276017,279544,"I am not! Dude, listen. I'm just
respectful of their workspace."
45,279721,282121,I talk to these people all the ti...
46,289163,290324,"Glad you think so.
I'll let you know as soon as"
47,290334,291529,"I've made a decision, Nigel."
48,291699,294031,"Okey-dokey, thank you.
Good day, fellas."
49,294502,295764,"- Good day.
- Good day, mate."
50,295937,297666,"Gulliver, got any mail for me?"
51,297839,299773,Yeah... No... Maybe.
52,299941,300965,Let me check.
53,301142,303372,"- Hi, I'm Dan, from the mailroom.
- Hey. Darcy."
54,303544,306342,"And I'll do whatever it takes to
not be from the mailroom."
55,307148,309582,"Dan doesn't need to be bothering
her right now. She's busy."
56,309751,310615,He isn't bothering me.
57,310785,312480,"I love to have a reason
to procrastinate."
58,312654,314053,"Yeah, me, too."
59,314222,316986,You're not bugging me. There you go.
60,317158,318648,"Well, I'll see you guys later."
61,318826,320259,"- Good to see you.
- Okay."
