Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"Nice easy mile now, warm it up! - Take your time. - Hurry up! It'd be so much cuter if you were wearing little shoes. It'd be cuter if he exploded at the end. - Excuse me. - Bless you.",10.372,40,Nice easy mile now warm it up Take your time Hurry up It would be so much cuter if you were wearing little shoes It would be cuter if he exploded at end Excuse me Bless you,love
2,- You know... - Black lung. Did you know that pilgrims used to think sneezing meant you were expelling demons? - What? - That's why I never sneeze. - I want to keep them all in my soul. - Your soul. If I had one.,12.096000000000002,45,You know Black lung Did you know that pilgrims used to think sneezing meant you were expelling demons What That is why I never sneeze I want to keep them all in my soul Your soul If I had,neutral
3,"Twitter poll. If you could stay one age forever, what would it be? - Easy. 21. - No way. I'd be 10. No, 10 was the worst, man. I say, 30. It's like the height of sophistication.",10.332,37,Twitter poll If you could stay age forever what would it be way I would be No was worst man I say It is like height of sophistication,realization
4,"- You? - What about the age we are right now? I'd like to stay like this forever. Seriously? I mean, what's wrong with you? Okay, fine. The age we are right now, but we could all live in a house together.",9.324,42,You What about age we are right now I would like to stay like this forever Seriously I mean what is wrong with you Okay fine age we are right now but we could all live in house together,curiosity
5,"Okay, fine. But without Wren, though? Yeah, obviously, that goes without saying. Super funny. Like, whoa. Guys, the dudebros in their natural habitat. Let's observe, shall we?",11.43,27,Okay fine But without though Yeah obviously that goes without saying Super funny Like whoa Guys dudebros in their natural habitat Let us observe shall we,amusement
6,"Hey, Tom! So, what's the plan tonight? - Big plans... - Hey. - It's top secret. - I see. A circle jerk? - Hey, Chloe. - Hey, Kyle. So, what's the big secret?",11.422999999999998,33,Hey So what is plan tonight Big plans Hey It is top secret I see circle jerk So what is big secret,neutral
7,"I mean, I could tell you, but then, I'd have to kill you. - Okay, buddy. - Yeah. Yeah. It's very intriguing. You guys, I got to go get my sister, but I love you. Bye. See you later. I'll pick you up tonight.",11.644,44,I mean I could tell you but then I would have to kill you Yeah Yeah It is very intriguing You guys I got to go get my sister but I love you Bye See you later I will pick you up tonight,love
8,"- I'm sorry. - Bye. It's okay. Bumped into Coach Sanders today. Said your 1,600-meter time is really improving. All that training's paying off. Nice work, sweetheart.",14.539,27,I am sorry It is okay Bumped into today Said your meter time is really improving training 's paying off Nice work sweetheart,admiration
9,"Did you tell them Delores Constantino quit the team? Why? She's pregnant. What is she planning to do, now? She's gonna drop out, and keep the baby.",11.219000000000001,27,Did you tell them quit team Why She is pregnant What is she planning to do now She is going to drop out and keep baby,neutral
10,"I assume Wren is gonna be at Katie's tonight? Yeah. So? So, what are you guys gonna do? You know, drink a lot of vodka, and meet guys online. Funny. Very funny.",11.299000000000001,32,I assume is going to be at 's tonight Yeah So So what are you guys going to do You know drink lot of vodka and meet guys online Funny Very funny,amusement
11,"- Can I come? - Not a chance. - You said I could come next time. - I lied. - Hey. - Hey. Do you think I could hang out with you guys? Yeah, not tonight, grasshopper.",10.559,37,Can I come Not chance You said I could come next time I lied Hey Hey Do you think I could hang out with you guys Yeah not tonight grasshopper,neutral
12,"Sorry. Maybe next time. I wore the shirt you gave me to school. Got sent to the principal's office. - Well done, man. Yes. - Hey. - Hey. - Goodbye.",8.017,30,Sorry Maybe next time I wore shirt you gave me to school sent to principal 's office Well done man Yes Hey,admiration
13,"Bye. Love me. Bye, Lizzie. - Hey. - Hey. Don't make any noise. It's dormant.",9.222,15,Love me Hey Hey Do not make noise It is dormant,love
14,"Just another exciting Friday night at the Jensens. No? Yeah, it's girl gaze porn. You know how they have POV porn? - Yeah. - This one's from our perspective.",7.243,29,Just exciting night at No Yeah it is girl gaze porn You know how they have porn Yeah one 's from our perspective,excitement
15,"- I don't want to see that. - For sure. Oh, my God. Do you think she likes that? - Oh, my God! - No! Oh, God! Once you see it, you just can't unsee it.",6.77,36,I do not want to see that For sure Oh my Do you think she likes that Oh my No Oh Once you see it you just can not unsee it,surprise
16,"What the hell is he doing? He's probably just looking for another bottle. - Sometimes, I wish I could just leave. - I know. Why don't we just all leave? Get out of this stupid town together. Where would we go?",11.746,41,What hell is he doing He is probably just looking for bottle Sometimes I wish I could just leave I know Why do not we just all leave Get out of stupid town together Where would we go,anger
17,"I have friends in Paris. We could totally stay with them. What friends? You've never been to Paris. - My mom has friends there, idiot. - Don't I wish. I'll just be stuck here forever, in this shithole. Seriously! No, I think you and Carl would make an adorable couple.",17.14,50,I have friends in We could totally stay with them friends You have never been to My mother has friends there idiot Do not I wish I will just be stuck here forever in shithole Seriously No I think you and would make adorable couple,anger
18,"It's ""Kyle,"" and I don't like him. Yeah, yeah, yeah. Whatever, you know. But we all know that you wish you were at their little secret sausage fest right now. No.",12.209999999999999,31,It is and I do not like him Yeah yeah yeah Whatever you know But we all know that you wish you were at their little secret sausage fest right now No,anger
19,"But I do know what their secret is. Oh, yeah? Do tell. So, they're getting together tonight at Tom's house in his garage, to summon Slender Man. - Creepy. - Who's Slender Man?",11.179,33,But I do know what their secret is Oh yeah Do tell So they are getting together tonight at 's house in his garage to summon Who is,neutral
20,"Yeah, he's the guy who makes all those kids disappear. Why have I not heard of this? That's a much longer conversation. - Listen. - Troll... ""Slender Man can manifest in a variety of forms.",11.612,35,Yeah he is guy who makes kids disappear Why have I not heard of this That is much longer conversation Listen can manifest in variety of forms,neutral
21,"""Certain accounts speak of a hypnotic power ""that renders his victims helpless to stop themselves ""from walking into waiting arms. ""While his origins and motives are completely unknown, ""he preys upon innocent youth.",15.741999999999999,33,Certain accounts speak of hypnotic power that renders his victims helpless to stop themselves from walking into waiting arms While his origins and motives are completely unknown he preys upon innocent youth,sadness
22,"""Once you see him, you're his. ""Some he takes, some he doesn't. ""Nobody knows why he takes who he takes, or why he leaves who he leaves. ""But the ones he leaves behind are messed up forever."" All right, here it is. ""How to summon Slender Man.""",16.476,47,Once you see him you are his Some he takes some he does not Nobody knows why he takes who he takes or why he leaves who he leaves But ones he leaves behind are messed up forever All right here it is How to summon,confusion
23,"- Guys, we so have to do this. - We actually don't. Actually. If they're doing it, we're doing it. This feels wrong. This feels like Russian malware-y virus-type shit.",9.725,30,Guys we so have to do this We actually do not Actually If they are doing it we are doing it This feels wrong This feels like Russian malware virus type shit,realization
24,"Come on, don't be such a wuss. ""Those who hear the three bells toll ""accept his invitation. ""When you hear the first, you must close your eyes, ""keeping words unspoken.",11.353,30,Come on do not be wuss Those who hear bells toll accept his invitation When you hear first you must close your eyes keeping words unspoken,caring
25,"""If one wants to hear, you must listen closely, ""for they are soft and distant. ""With eyes still closed and mind wide open, ""clear your thoughts and await the second, ""opening your eyes only once you've heard the third.""",13.802,39,If one wants to hear you must listen closely for they are soft and distant With eyes still closed and mind wide open clear your thoughts and await second opening your eyes only once you have heard third,neutral
26,"Are you serious? This is... What a stupid video. Honestly. Can we do something else? - Let's watch a movie. - Yeah. This burial ground dates back all the way to the Revolutionary War,",11.569999999999999,34,Are you serious This is What stupid video Honestly Can we do something else Let us watch movie Yeah burial ground dates back way to,annoyance
27,"which was 1775 to 1783. In 2004, it was put on the National Registry of Historical Sites, which was very exciting. Initially, all of this land belonged to Thomas Clifton, who left it to the town of Winsford in his will in 1674.",17.537,43,which was to In it was put on of which was very exciting Initially all of land belonged to who left it to town of in his will in,excitement
28,"You guys, I threw up twice this morning before I got on the bus. Is it Carl's? That's hilarious, and also, scientifically impossible. Have you been having nightmares? Have you?",11.981,30,You guys I threw up twice morning before I got on bus Is it 's That is hilarious and also scientifically impossible Have you been having nightmares Have you,amusement
