Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,Everybody that believe the time Of the dragons past has. But actually has started newly. Each 500 years a woman is born. A woman who has one owns a power Spiritual That can turn To a snake in The majestic mas dragon of the world.,18.968999999999998,45,Everybody that believe time Of dragons past has But actually has started newly years woman is born woman who has owns power That can turn To snake in majestic mas dragon of world,neutral
2,"A good snake would use east Be able to protect the universe. A malignant snake would be used This power to destroy the world. Time of which is that one now Spirit is woken up. That has arrived hour Unwrap the destiny. This does not be his earth, is mia! Hide his treasures, this is the end.",22.855999999999998,57,good snake would use east Be able to protect universe malignant snake would be used power to destroy world Time of which is that now is woken up That has arrived hour Unwrap destiny This does not be his earth is mia Hide his treasures this is end,optimism
3,"Vera everybody the rebirth Of the beast, say the beast. CGNN Network Kanbridge Ethan How explain the situation? One will, explain it, become a favor and Come back behind of the yellow line. Press here nothing. Go. Have cubrido a lot of stories Crazy but there is something in this",19.791,50,Vera everybody rebirth Of beast say beast How explain situation will explain it become favor and Come back behind of yellow line Press here nothing Go Have cubrido lot of stories but there is something in this,neutral
4,Had seen this already. This skin. Has something that to see with me. What be? Does the story that said to me be Jack? FIFTEEN ANUSES SUEDES.,11.415999999999999,27,Had seen this already skin Has something that to see with me What be Does story that said to me be FIFTEEN,neutral
5,"Ethan! Remembers, do not touch it. The one. My boy has one Curious imagination. Symbol is of intelligence A curious mind. Where were?",13.762999999999998,23,Remembers do not touch it one My boy has Curious imagination is of intelligence curious mind Where were,curiosity
6,"This has been in my family by Generations. Of child was very joint thereto. In fact, do not go one very valuable. Insurance must cost something. 10 dollars. Is the best than offer you. Go, by him except voucher 150.",16.999000000000002,40,This has been in my family by Of child was very joint thereto In fact do not go very valuable Insurance must cost something dollars Is best than offer you Go by him except voucher,neutral
7,"Did not come even here Said Ethan that him do not do. 100 dollars is a lot? Which step? - Es mi corazón. -¿Llamo una ambulancia? Do not, go to the drugstore, asks for one Button, tell them that is give birth my, quickly.",13.923,44,Did not come even here that him do not do dollars is lot step corazón Do not go to drugstore asks for tell them that is give birth my quickly,realization
8,"Give you thousand thereby. Ethan! Which step? Take care, of him, come back already. Met you finally. Give bill of what have just seen?",14.798,24,Give you thereby step Take care of him come back already you finally Give bill of what have just seen,caring
9,What this in the box? What have just seen was the scale of that Imoogi and that light comes from the sky. Sky light? Imoogi? Sit down. Imoogi is a creature of a legend Korean who turns one into a dragon.,14.152,41,What this in box What have just seen was scale of that and light comes from sky Sky light Sit down is creature of legend who turns into dragon,neutral
10,Some time ago existed big Snakes called imoogis. Vivian in a sky by On the same sky. Each 500 years an Imoogy was Compensated by his good actions. With the opportunity of turning In a celestial dragon. To arrive at that must receive Of the sky Yuh Yi Joo gift. Is the force and the power of the Yuh Yi Joo That him him allows to transform dragon.,23.095,68,time ago existed big called imoogis Vivian in sky by On same sky years Imoogy was Compensated by his good actions With opportunity of turning In celestial dragon To arrive at that must receive Of sky gift Is force and power of That him him allows to transform dragon,neutral
