Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"Ready? There's no way. - Mm-mm. - This is ridiculous. - Mm-hmm. - That's actually impressive. - You're kidding me. - Cough it up, baby. - Okay. I'm gonna give you five. I don't know how you do it, man. - I'm just blessed. - Hmm.",10.356,46,Ready There is way mm This is ridiculous hmm That is actually impressive You are kidding me Cough it up baby Okay I am going to give you I do not know how you do it man I am just blessed,amusement
2,"Thank you for contributing to my slush funds. Jesus. Dude, this place is so disgusting. Don't trash the bar. It's just bugs. - You should get an exterminator. - Yeah, that's above my pay grade. - Oh, my God. - Oh, geez. You're such an asshole. You know, they say when you see one, there's thousands more in the walls.",13.618,60,Thank you for contributing to my slush funds Dude place is so disgusting Do not trash bar It is just bugs You should get exterminator Yeah that is above my pay grade Oh my Oh geez You are asshole You know they say when you see there is thousands more in walls,gratitude
3,"- Shut up, Jeffrey. - Yeah, shut up, Jeffrey. Why don't you make me? Make me shut up. Don't mind me. Trash coming through. How you living, Eric? - Large. - Expect nothing less. I'll be right down.",9.058,38,Shut up Yeah shut up Why do not you make me Make me shut up Do not mind me coming through How you living Large Expect nothing less I will be right down,anger
4,"That shirt comes off, you drink for free. - No. - Just saying. - Oh, yeah? - That's bar policy. You get naked, it's free drinks all night. Isn't that right, Mary? Damn right. I don't make the rules. Come on. Give me a shot.",8.657,45,shirt comes off you drink for free No Just saying Oh yeah That is bar policy You get naked it is free drinks night Is not that right Damn right I do not make rules Come on Give me shot,anger
5,"- Now we're talking. Now we're talking! - Line 'em up. Maybe you will see something by the end of the night. Don't you tease me. - Where you going? - I'm just going to the bathroom, babe. He seems like a good kid. He is a good kid. Wonder how long this one's gonna last. I'm kidding! Come on, look...",11.120999999999999,61,Now we are talking Now we are talking Line them up Maybe you will see something by end of night Do not you tease me Where you going I am just going to bathroom babe He seems like good kid He is good kid Wonder how long one 's going to last I am kidding Come on look,amusement
6,"May you both live happily ever after. Cheers. Nah, I'm going to wait for my boyfriend. Your loss. M'lady. - Who the fuck are you, man? - Whoa, whoa. Eric! - Who the fuck are you? - Hey! Eric! He's with me. That's just Jeffrey, man. You remember him.",11.423,49,May you both live happily ever after Cheers I am going to wait for my boyfriend Your loss M'lady Who fuck are you man whoa Who fuck are you Hey He is with me That is just man You remember him,annoyance
7,"Oh, yeah. Oh, yeah. - How you doing, brother man? - Fine. Thanks. Good game. Scored a goal. I'm here! I was so close. If you break one more stool, Rosie's gonna to make you stand while you're here.",9.425,39,Oh yeah Oh yeah How you doing brother man Fine Thanks Good game Scored goal I am here I was so close If you break more stool 's going to to make you stand while you are here,admiration
8,"Long night? - Just getting started. - Yeah? - Usual? - Yes, please. Coming right up. You know what? You go buy yourself a drink. Wow. My man. And drinks for the progressive couple over there doing the smooching.",10.292,39,Long night Just getting started Yeah Usual Yes please Coming right up You know what You go buy yourself drink Wow My man And drinks for progressive couple over there doing smooching,surprise
9,"You're a real gentleman, Eric. Oh, no, man. It's fine. You don't have to do that. Yeah. I know I don't have to. I want to. Thank you, Eric. We appreciate it. Thank you. Welcome. That shirt better come off now.",8.657,41,You are real gentleman Oh no man It is fine You do not have to do that Yeah I know I do not have to I want to Thank you We appreciate it Thank you Welcome shirt better come off now,admiration
10,"Um... to, uh, Eric. To Eric! Cheers. Oh, come on, Eric. Everybody 21? Yeah. What about everybody else? Yeah, man.",8.693999999999999,20,Um to uh To Cheers Oh come on Everybody Yeah What about everybody else Yeah man,joy
11,"Want me to get them? No. Fuck it, you're fine. What do want? Just beer. Four, please. Just beer? All right. These are twist-off. Y'all should be able to handle that? Yeah, man. We can handle it.",9.523,37,Want me to get them No Fuck it you are fine What do want Just beer please Just beer All right These are twist off You all should be able to handle that Yeah man We can handle it,caring
12,"You know those kids are underage, right? Whatever. They're harmless. Let them have their fun. Hit me again, please. Ah! Right, yep. My bad. Jesus. I swear, we got more bugs than people in the bar tonight. That's fucking gross. Bugs were fucking on the whiskey. - Thank you. - There you go.",12.687,53,You know kids are underage right Whatever They are harmless Let them have their fun Hit me again please Ah Right My bad I swear we got more bugs than people in bar tonight That is fucking gross Bugs were fucking on whiskey Thank you There you go,anger
13,"There you are. What's up, brother? - I'm all right, how are you? - Good. Give me a hug, dude. Enjoying your last days of freedom? - You know it. - Good. Good. What's going on? You fellas, let me know if you need anything else. We're good for now, brother.",10.321,51,There you are What is up brother I am all right how are you Good Give me hug dude Enjoying your last days of freedom You know it Good Good What is going on You fellas let me know if you need anything else We are good for now brother,joy
14,"- Let's shot some pool! - Pool! - Hey, Mary. - You wanna play? He's been on a non-stop bender for a week. He's back on the rig on Monday, so I think we'll be safe. Fuck you, Eric! Hey, Mary! Mary, come on. They're only kidding. - Mary, wait. - Kiss my ass, jerk.",11.122,55,Let us shot pool You want to play He is been on non - stop bender for week He is back on rig on so I think we will be safe Fuck you come on They are only kidding wait Kiss my ass jerk,excitement
