Scene,Text,TimeTaken,NumberOfWords,clean_text,emotion
1,"""She knew a trick. ""She knew how to turn her life into a movie and watch things happen. ""Not to her, but to a girl who looked just like her. ""Was she the runaway ""with everything she owned in a ratty old backpack? ""Or, was she watching a movie about a hitchhiking runaway on a lonely highway?",19.682000000000002,57,She knew trick She knew how to turn her life into movie and watch things happen Not to her but to girl who looked just like her Was she runaway with everything she owned in ratty old backpack Or was she watching movie about hitchhiking runaway on lonely highway,neutral
2,"""A truck slowed till the girl squinted in his headlights. ""But one good look at her ""and the trucker couldn't get out of there fast enough. ""She didn't even have the strength to curse him ""as she choked on the dust of his spinning wheels."" I'm sorry, Mr. Norquist. I know I should have this by now.",16.506,57,truck slowed till girl squinted in his headlights But good look at her and trucker could not get out of there fast enough She did not even have strength to curse him as she choked on dust of his spinning wheels I am sorry I know I should have this by now,remorse
3,"You've been distracted lately, Aubrey. The next Young Artist Competition is less than a month away. I know. I know. Watch this hand. You see how easy? Yeah.",11.397,28,You have been distracted lately next is less than month away I know I know Watch hand You see how easy Yeah,neutral
4,"I've been meaning to talk to you. You know, I've been thinking, and... I just... I don't know if I'm cut out to play piano anymore. Aubrey, all artists feel that way. It's normal. No, I... I want to quit. I mean, I barely made my winter admit to Yale, and I could still blow it.",16.29,56,I have been meaning to talk to you You know I have been thinking and I just I do not know if I am cut out to play piano anymore Aubrey artists feel way It is normal No I I want to quit I mean I barely made my winter admit to and I could still blow it,confusion
5,"I just need to concentrate all of my efforts into writing. But you have a gift, an innate talent. You won the Young Artist Competition. I mean, how much more validation do you need? That was a long time ago, Mr. Norquist. Hi, you.",14.834000000000001,44,I just need to concentrate all of my efforts into writing But you have gift innate talent You won I mean how much more validation do you need That was long time ago Hi you,admiration
6,""" She always felt like half a person. "" Half a person with half a soul. "" Sometimes, if she dreamed hard enough, she could bring the two halves together. "" But she always woke to the same feelings of loneliness and loss. "" - Hey. - Hi. Where'd you find a blue rose?",17.314,54,She always felt like person person with soul Sometimes if she dreamed hard enough she could bring halves together But she always woke to same feelings of loneliness and loss Hey Where did you find blue rose,neutral
7,"I passed a place on the street. Here. Thank you. You okay? Yeah. Got me. Sheriff, several federal agents were seen entering city hall",11.271999999999998,24,I passed place on street Here Thank you You okay Yeah Got me several federal agents were seen entering city hall,gratitude
8,"- about an hour ago. - Why has the coroner's report been sealed? - Sheriff! Jennifer Toland... - Please. ...disappeared almost two months ago. Serial killers typically... We have one dead girl, and you're talking serial killer! - You people astound me. - Could you just give us a name?",12.001,50,about hour ago Why has coroner 's report been sealed Please disappeared almost months ago killers typically We have dead girl and you are talking serial killer You people astound me Could you just give us name,neutral
9,"Who has not yet found the aortic arches? And the super-pharyngeal ganglia? The brain. Yes, you can barely see that, even under the microscope. Is that all I am to you? Just something to relax you before the game?",12.001,39,Who has not yet found aortic arches And super - pharyngeal ganglia brain Yes you can barely see that even under microscope Is that all I am to you Just something to relax you before game,joy
10,"If I cut a worm in half, will it become two worms? No, Pete, that's a myth. What's it gonna take for me and you to be together? A lot more than one blue rose. Aubrey, I think I'm falling in love with you. We barely know each other, Jerrod.",16.301000000000002,50,If I cut worm in half will it become worms No that is myth What is it going to take for me and you to be together lot more than blue rose I think I am falling in love with you We barely know other,love
