Number,StartMilliseconds,EndMilliseconds,Text
1,89923,91664,We're screwed.
2,91800,93837,No more free wi-fi.
3,94970,96506,"- Hey, Ki-jung!
- Yeah?"
4,97180,100799,"The lady upstairs put
a password on 'iptime'."
5,101810,102971,A password?
6,103103,104765,Did you try 123456789?
7,104855,105971,No luck.
8,106064,107475,Do it the other way.
9,107566,109148,I tried that too!
10,109443,113232,"Fuck, then we can't get WhatsApp?"
11,113322,114688,Nothing.
12,115073,116860,"Hey, Kim Ki-taek."
13,117784,121118,"Don't fucking pretend to sleep.
What do you think?"
14,121788,127455,"Our phones are shut off.
Now our wifi is shut off."
15,128295,130082,What's your plan?
16,133800,135132,"- Ki-woo.
- Yes, Dad?"
17,135218,138757,"For wifi, hold it high."
18,140182,143926,Stick it in every corner and so on.
19,147731,151520,Damn stink bugs.
20,152444,154606,Over here! I got it!
21,154696,156028,Really? You got a signal?
22,156114,157855,"Yeah, see?"
23,158033,160571,"This one, 'coffeeland 2G'."
24,160786,162698,Did a new cafe open?
25,162913,164495,Why can't I get it?
26,164581,166163,Climb up here.
27,166249,167535,Hey kids.
28,168377,169993,"- Does it work?
- Yeah."
29,170087,172420,Then check WhatsApp.
30,172923,175415,Pizza Generation said they'd contact me.
31,175884,177170,Hold on.
32,177761,179969,Here it is. Pizza Generation.
33,183308,186301,"Wow! Check this out, guys."
34,187104,190313,"If we go as fast as her,
we can finish today."
35,190399,191685,Then we can get paid.
36,191775,194893,"- Should we stand up too?
- She's a pro."
37,195320,198108,What? Fumigation?
38,200075,201566,They still do that kind of thing?
39,201660,202660,Guess so.
40,202703,203536,Shut the window.
41,203537,206029,"Leave it open.
We'll get free extermination."
42,206248,207705,Kill the stink bugs.
43,207916,210454,"Right, too many stink bugs
these days..."
44,212838,214875,"God, that smells!"
45,217634,219341,I told you to shut it!
46,219594,221381,"Should I shut it, Dad?"
47,232232,234315,What exactly is the problem?
48,235193,237936,Take this one as an example.
49,238238,240446,You call this a straight line?
50,240824,242656,And why's it folded here?
51,242993,244609,Why is this sticking up?
52,244786,247119,You didn't even fold it.
53,248331,252291,A quarter of them look like this.
54,252377,254869,So 1 out of 4 are rejects.
55,258049,261793,"So you're really docking
10% off our pay?"
56,262220,265713,"Considering the rejects,
that's a low penalty, isn't it?"
57,266767,270351,"Our pay is so low already!
How can you do this?"
58,271938,273179,Look here.
59,273398,275856,This is not some minor issue.
60,276026,281192,"You know what one shitty box
can do to our brand image?"
61,281490,284733,"Brand? You can't even afford
a box folder!"
62,284826,286237,What did you say?
63,287204,288445,Boss.
64,289206,290600,"This is all because
of that guy, right?"
65,290624,291624,What guy?
66,291708,295372,"Your part-time worker.
He's gone AWOL, right?"
67,295587,299581,"Just when the Love of God Church
made a huge group order?"
68,299841,301924,How do you know all that?
69,302135,303626,Who told you?
70,303970,305711,My sister knows the guy.
71,305931,310175,"He's always been a bit strange.
Got a bad reputation."
72,310519,312306,"Speaking of which, Boss."
73,313021,315104,We'll accept a 10% penalty.
74,315190,316226,In return...
75,316316,317397,In return?
76,317776,320268,"Any thought of hiring
a new part-time worker?"
77,320403,323817,"Sis, we need someone!"
78,324241,327359,"Ditch the guy you've got now.
Just fire him."
79,328078,331367,"Tomorrow I'll come for
a formal interview. What time?"
80,331456,332947,"Wait, hold on a sec."
81,333875,336083,Let me think about it.
82,336419,339503,"Then for now,
just pay for the boxes."
83,346263,349631,"So we're all gathered here today,"
84,350183,353722,"to celebrate the reconnection
of our phones,"
85,353812,357476,and this bounteous wi-fi!
86,357566,360809,"Look at that bastard.
It's not even dark yet."
87,362946,365359,"Why didn't you put up
a 'No Urinating' sign?"
88,365448,366407,I told you!
89,366408,370778,"No, signs like that
just make them piss even more."
90,371121,372953,At least shout at him!
91,373039,374530,Don't shout.
92,374749,376581,"""Please don't piss!"""
93,378378,381371,"Hey, is that Min?"
94,382007,384169,"Hey mister, that's not a toilet."
95,384259,385625,"Way to go, Min."
96,385719,387756,"Hey, punk!"
97,387846,391010,"Who are you staring at, asshole?"
98,391266,394430,Come here! You little shit.
99,396271,398388,Get a fucking grip!
100,399608,401895,That's an impressive friend.
101,401985,404853,"College students have
a real vigor to them."
102,405113,406113,Not like my brother.
103,406197,409531,"But is he coming here?
Did you invite him?"
104,409618,410699,No.
105,410827,411908,Hello!
106,411995,413531,"Oh hi, Min!"
107,413872,414872,Min!
108,414915,415748,"Are you well, sir?"
109,415749,418287,"- Sure.
- What are you doing here?"
110,418376,420242,I texted you. Didn't you see it?
111,420587,421748,"Sorry, were you eating?"
112,421838,423124,"No, we weren't eating."
113,423214,425501,"- How are you, Ki-jung?
- Fine, you too?"
114,425592,428300,"We could've met outside,
why come here?"
115,428386,429261,Because of this.
116,429262,432050,"It's for you,
but it's so heavy."
117,432182,434515,Really? Put it down here.
118,436478,438060,"Wow, what is that?"
119,438146,439762,"When I said I was meeting Ki-woo,"
120,439856,443315,"my grandfather insisted
I bring this to you."
121,447280,449613,Is this a landscape type?
122,450867,452779,"Or you can see it
as an abstract type."
123,452869,454531,"Wow, you know these!"
124,454621,458615,"My grandpa has collected scholar's rocks
since his cadet days."
125,458792,462285,"Now the annex, the study,
every room in the house"
126,462379,464336,is filled with these things.
127,464631,468420,"But this stone here is said
to bring material wealth to families..."
128,468510,469751,Min!
129,470011,472879,This is so metaphorical.
130,473181,476390,"For sure.
It's a very opportune gift."
131,476476,477351,Of course.
132,477352,481346,"Please relay our deepest
thanks to your grandpa."
133,481606,483393,Food would be better.
134,493410,496574,"What was that called?
A landscape stone?"
135,496705,498116,You collect those rocks too?
136,498206,502951,"Hey, thanks to that rock
I saw your parents, they look healthy."
137,505088,508047,"They're plenty healthy,
just out of work."
138,510510,512752,"Is Ki-jung taking lessons
these days?"
139,513972,516760,She can't afford lessons.
140,525650,527107,"Cute, huh?"
141,527986,530444,She's the one you're tutoring?
