Number,StartMilliseconds,EndMilliseconds,Text
1,29321,31073,Forget it. It's too risky.
2,31990,33408,I'm through doing that shit.
3,33492,35953,"You always say that,
the same thing every time."
4,36036,38789,"""I'm through, never again, too dangerous."""
5,38872,41416,"I know that's what I always say.
I'm always right, too."
6,41500,43377,But you forget about it in a day or two.
7,43460,45230,"Yeah, well,
the days of me forgetting are over,"
8,45254,47214,"and the days of me remembering
have just begun."
9,47297,49359,"You know when you go on like this
what you sound like?"
10,49383,50903,I sound like a sensible fucking man...
11,50968,53136,"- You sound like a duck.
- ...that's what I sound like."
12,53720,55823,"Take heart, cause you're never
gonna have to hear it again,"
13,55847,58743,"'cause since I'm never gonna do it again,
you're never gonna have to hear me quack"
14,58767,61144,"- about how I'm never gonna do it again.
- After tonight."
15,61228,63021,Correct. I got all tonight to quack.
16,64481,65857,Can I get anyone more coffee?
17,65941,67901,"Oh, yes."
18,69027,70237,Thank you.
19,70320,71697,You're welcome.
20,73115,74616,"I mean, the way it is now,"
21,74700,76700,"you're taking the same risk
as when you rob a bank."
22,77703,79663,Taking more of a risk. Banks are easier.
23,79746,82708,"Federal banks ain't supposed to stop you
in any way during a robbery."
24,82791,84751,"They're insured.
Why should they give a fuck?"
25,84835,87254,"You don't even need a gun
in a federal bank."
26,87337,90841,"I heard about this one bloke, he walks
into a bank with a portable phone."
27,90924,92259,"He gives the phone to the teller,"
28,92342,95154,"bloke on the other end of the phone says,
""We got this guy's little girl."
29,95178,97532,"If you don't give him all your money,
we're gonna Kill her."""
30,97556,99349,"- Did it work?
- Fucking right, it worked."
31,99433,103145,"That's what I'm talking about. Knucklehead
walks into a bank with a telephone."
32,103228,106356,"Not a pistol, not a shotgun,
a fucking phone."
33,106440,108984,"Cleans the place out.
They don't even lift a fucking finger."
34,109067,110777,Did they hurt the little girl?
35,110861,113381,"I don't know. There probably never was
a little girl in the first place."
36,113405,115008,"The point of the story
isn't the little girl."
37,115032,116072,"The point of the story is,"
38,116116,117784,they robbed a bank with a telephone.
39,118368,120680,"- You want to rob banks?
- I'm not saying I want to rob banks."
40,120704,123391,"I'm just illustrating if we did,
it'd be easier than what we been doing."
41,123415,124750,And no more liquor stores?
42,124833,127586,"What we been talking about?
Yeah, no more liquor stores."
43,127669,129272,"Besides, it ain't
the giggle it used to be."
44,129296,130940,"There's too many foreigners
own liquor stores."
45,130964,133067,"Vietnamese, Koreans,
they don't even speak fucking English."
46,133091,135945,"Tell 'em, ""Empty out the register,""
they don't know what you're talking about."
47,135969,137179,They make it too personal.
48,137262,139616,"We keep on, one of these gook fucker's
gonna make us kill him."
49,139640,141058,I'm not gonna kill anybody.
50,141141,142684,"I don't want to kill anybody, either."
51,142768,145479,"But they'll probably put us in a situation
where it's us or them."
52,146229,147269,"And if it's not the gooks,"
53,147314,150609,"it's these old fucking Jews who've owned
the store for 15 fucking generations."
54,150692,153320,"You got Grandpa Irving
sitting behind the counter"
55,153403,154780,with a fucking magnum in his hand.
56,154863,157133,"Try walking into one of those places
with nothing but a phone,"
57,157157,159594,"see how far that gets you.
Fuck it. Forget it. We're out of it."
58,159618,161495,"Yeah, well, what then? Day jobs?"
59,162120,164039,"- Not in this life.
- What, then?"
60,165999,167668,"Gargon, coffee!"
61,168418,169419,This place.
62,172089,173757,"""Gargor!' means ""boy."""
63,178553,179554,This place?
64,179638,181264,A coffee shop?
65,181348,182683,What's wrong with that?
66,184351,186311,Nobody ever robs restaurants.
67,186978,188021,Why not?
68,189022,192442,"Bars, liquor stores, gas stations."
69,192526,195195,"You'll get your head blown off
sticking up one of them."
70,195278,197030,"Restaurants, on the other hand,"
71,197114,198824,you catch with their pants down.
72,198907,200867,They're not expecting to get robbed.
73,200951,202244,"Not as expecting, anyway."
74,202327,206248,"I bet you could cut down
on the hero factor in a place like this."
75,206331,207332,Correct.
76,207416,210627,"Same as banks, these places are insured."
77,210711,213046,Manager. He don't give a fuck.
78,213130,216192,"He's just trying to get you out the door
before you start plugging the diners."
79,216216,217759,Waitresses? Fucking forget it.
80,217843,220095,"No way they're taking a bullet
for the register."
81,220178,223181,"Busboys, some wetback
getting paid $1.50 an hour,"
82,223265,225642,"really give a fuck
you're stealing from the owner?"
83,225726,227578,"Customers sitting there
with food in their mouths,"
84,227602,228871,they don't know what's going on.
85,228895,230540,"One minute they're having a Denver omelet,"
86,230564,232774,"next minute someone's sticking
a gun in their face."
87,233608,236153,"See, I got the idea"
88,236236,238447,last liquor store we stuck up. Remember?
89,238530,239948,All the customers kept coming in?
90,240031,241450,Yeah.
91,241533,243660,You got the idea taking their wallets.
92,244286,246079,"- Now, that was a good idea.
- Thank you."
93,246163,248349,"Made more from the wallets
than we did from the register."
94,248373,249624,"Yes, we did."
95,249708,251228,A lot of people come into restaurants.
96,251293,252878,A lot of wallets.
97,253628,254921,"Pretty smart, huh?"
98,255964,257048,Pretty smart.
99,259301,261595,"I'm ready. Let's do it.
Right now, right here."
100,261678,262846,Come on.
101,262929,263972,All right.
102,264848,266183,"Same as last time, remember?"
103,266266,269019,You're crowd control. I handle employees.
104,274691,276109,"I love you, Pumpkin."
105,276193,277736,"I love you, Honey Bunny."
106,279112,281114,"Everybody, be cool! This is a robbery!"
107,281198,284451,"Any of you fucking pricks move,"
108,284534,288371,"and I'll execute
every motherfucking last one of you!"
109,425634,428219,"Okay, so tell me again
about the hash bars."
